# ,,,,,,,,,,
# FOFEM Mortality Species Equation File ,,,,,,,,,,
# Sep 11 2018,,,,,,,,,,
# This file is used in conjunction with the FOFEM tree mortality option,,,,,,,,,,
# Seq = Sequence number - helps order file ,,,,,,,,,,
# Species = Species code,,,,,,,,,,
# Sci-Name = Scientific name,,,,,,,,,,
# Com-Name = Common name,,,,,,,,,,
# Mort = Mortality equation identifiers,,,,,,,,,,
#           Crown Scorch Equations (CRNSCH):   1 -> 99,,,,,,,,,,
#           Bole Char Equations (BOLCHR):   100->110,,,,,,,,,,
#           Crown Damage/Cambium/Beetle Equations (CRCABE):   2 alpha characters,,,,,,,,,,
# Brk  = Bark Equation,,,,,,,,,,
# Crn  = Crown Coefficient code used to calculate stand canopy cover,,,,,,,,,,
# Reg  = Region,,,,,,,,,,
#            IW -   Interior West,,,,,,,,,,
#            PW - Pacific West,,,,,,,,,,
#            NE - North East,,,,,,,,,,
#            SE - South East,,,,,,,,,,
# ,,,,,,,,,,
#Seq,Species,Sci-Name,Com-Name, Mort,Brk,Crn,IW,PW,NE,SE
1110,BEPAK,Betula papyrifera,Kenai birch,1,1,24,-1,2,3,4
1120,BEPAP,Betula papyrifera,Paper birch,1,1,24,-1,2,3,4
1130,BEPAC,Betula papyrifera,Paper birch,1,1,24,-1,2,3,4
1140,BEPAE,Betula papyrifera,Paper birch,1,1,24,-1,2,3,4
1150,BEPAM2,Betula papyrifera,Paper birch,1,1,24,-1,2,3,4
1160,BEPAP2,Betula papyrifera,Paper birch,1,1,24,-1,2,3,4
1170,BETSPP,Betula species,Birches,1,1,24,-1,2,3,4
1180,CEOC,Celtis occidentalis,Common hackberry,1,14,24,-1,-1,3,4
1190,CEOCC,Celtis occidentalis,Common hackberry,1,14,24,-1,-1,3,4
1200,CEOCC3,Celtis occidentalis,Common hackberry,1,14,24,-1,-1,3,4
1210,CEOCC4,Celtis occidentalis,Common hackberry,1,14,24,-1,-1,3,4
1220,CEOCO2,Celtis occidentalis,Common hackberry,1,14,24,-1,-1,3,4
1230,CEOCP,Celtis occidentalis,Common hackberry,1,14,24,-1,-1,3,4
1240,CANO9,Callitropsis nootkatensis,Alaska cedar,1,2,8,-1,2,-1,-1
1250,CAAQ2,Carya aquatica,Water hickory,1,19,39,-1,-1,3,4
1260,CAAQA3,Carya aquatica,Water hickory,1,19,39,-1,-1,3,4
1270,CACA18,Carpinus caroliniana,American hornbeam,1,9,39,-1,-1,3,4
1280,CACAC2,Carpinus caroliniana,American hornbeam,1,9,39,-1,-1,3,4
1290,CACAV,Carpinus caroliniana,American hornbeam,1,9,39,-1,-1,3,4
1300,CACAV2,Carpinus caroliniana,American hornbeam,1,9,39,-1,-1,3,4
1310,CAAL27,Carya alba,Mockernut hickory,1,22,39,-1,-1,3,4
1320,CACA38,Carya carolinae-septentrionalis,Shagbark hi,1,19,39,-1,-1,3,4
1330,CACOL3,Carya cordiformis,Bitternut hickory,1,16,39,-1,-1,3,4
1340,CACO15,Carya cordiformis,Bitternut hickory,1,16,39,-1,-1,3,4
1350,CAGL8,Carya glabra,Pignut hickory,1,16,39,-1,-1,3,4
1360,CAGLG2,Carya glabra,Pignut hickory,1,16,39,-1,-1,3,4
1370,CAGLH,Carya glabra,Pignut hickory,1,16,39,-1,-1,3,4
1380,CAGLM,Carya glabra,Pignut hickory,1,16,39,-1,-1,3,4
1390,CAIL2,Carya illinoinensis,Pecan,1,15,39,-1,-1,3,4
1400,CALA21,Carya laciniosa,Shellbark hickory,1,22,39,-1,-1,3,4
1410,CAOV2,Carya ovata,Shagbark hickory,1,19,39,-1,-1,3,4
1420,CAOVC,Carya ovata,Shagbark hickory,1,19,39,-1,-1,3,4
1430,CAOVA,Carya ovata,Shagbark hickory,1,19,39,-1,-1,3,4
1440,CAOVF,Carya ovata,Shagbark hickory,1,19,39,-1,-1,3,4
1450,CAOVN,Carya ovata,Shagbark hickory,1,19,39,-1,-1,3,4
1460,CAOVP,Carya ovata,Shagbark hickory,1,19,39,-1,-1,3,4
1470,CAOVA,Carya ovata,Shagbark hickory,1,19,39,-1,-1,3,4
1480,CARSPP,Carya species,Hickories,1,23,39,-1,-1,3,4
1490,CATE9,Carya texana,Black hickory,1,19,39,-1,-1,-1,4
1500,CATEA,Carya texana,Black hickory,1,19,39,-1,-1,-1,4
1510,CATEV,Carya texana,Black hickory,1,19,39,-1,-1,-1,4
1520,CATO6,Carya tomentosa,Mockernut hickory,1,22,39,-1,-1,3,4
1530,CATOS,Carya tomentosa,Mockernut hickory,1,22,39,-1,-1,3,4
1540,CACHM,Castanopsis chrysophylla,Giant chinkapin,1,24,25,-1,2,-1,-1
1550,CACH6,Castanopsis chrysophylla,Giant chinkapin,1,24,25,-1,2,-1,-1
1560,CADE12,Castanea dentata,American chestnut,1,19,39,-1,-1,3,-1
1570,CAAM29,Castanea americana,American chestnut,1,19,39,-1,-1,3,-1
1580,CATSPP,Catalpa species,Catalpas,1,16,39,-1,-1,-1,4
1590,CELA,Celtis laevigata,Sugarberry,1,15,39,-1,-1,3,4
1600,CELAB,Celtis laevigata,Sugarberry,1,15,39,-1,-1,3,4
1610,CELAL,Celtis laevigata,Sugarberry,1,15,39,-1,-1,3,4
1620,CELAA,Celtis laevigata,Sugarberry,1,15,39,-1,-1,3,4
1630,CELAB2,Celtis laevigata,Sugarberry,1,15,39,-1,-1,3,4
1640,CELAR,Celtis laevigata,Netleaf hackberry,1,15,39,-1,-1,3,4
1650,CELAT8,Celtis laevigata,Texan sugarberry,1,15,39,-1,-1,3,4
1660,CECA4,Cercis canadensis,Eastern redbud,1,14,39,-1,-1,3,4
1670,CECAC,Cercis canadensis,Eastern redbud,1,14,39,-1,-1,3,4
1680,CECAM,Cercis canadensis,Mexican redbud,1,14,39,-1,-1,3,4
1690,CECAM2,Cercis canadensis,Mexican redbud,1,14,39,-1,-1,3,4
1700,CECAT,Cercis canadensis,Texas redbud,1,14,39,-1,-1,3,4
1710,CECAT2,Cercis canadensis,Texas redbud,1,14,39,-1,-1,3,4
1720,CHLA,Chamaecyparis lawsoniana,PortOrford-cedar,1,39,9,-1,2,-1,-1
1730,CHNO,Chamaecyparis nootkatensis,Alaska-cedar,1,2,9,-1,2,-1,-1
1740,CHTH2,Chamaecyparis thyoides,Atlantic white-cedar,1,4,9,-1,-1,3,4
1750,CHTHH,Chamaecyparis thyoides,Atlantic white-cedar,1,4,9,-1,-1,3,4
1760,CHCHC4,Chrysolepis chrysophylla,Giant chinkapin,1,24,25,-1,2,-1,-1
1770,CHCHM,Chrysolepis chrysophylla,Giant chinkapin,1,24,25,-1,2,-1,-1
1780,COFL2,Cornus florida,Flowering dogwood,1,20,34,-1,-1,3,4
